Techstack,Links
"React, Node.js, MongoDB",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"Angular,.NET, SQL Server",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"Vue.js, Ruby on Rails, PostgreSQL",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"Python, Django, MySQL",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view?usp=drive_link
"Java, Spring Boot, Oracle",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"Flutter, Firebase, GraphQL",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"WordPress, PHP, MySQL",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"Magento, PHP, MySQL",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"React Native, Node.js, MongoDB",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"iOS, Swift, Core Data",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"Android, Java, Room Persistence",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"Kotlin, Android, Firebase",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"Android TV, Kotlin, Android NDK",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"iOS, Swift, ARKit",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"Cross-platform, Xamarin, Azure",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"Backend, Kotlin, Spring Boot",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"Frontend, TypeScript, Angular",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"Full-stack, JavaScript, Express.js",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"Machine Learning, Python, TensorFlow",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
"DevOps, Jenkins, Docker",https://drive.google.com/file/d/1ZU2emdHHfHr2gPzAbnIME61BhKg1EwfK/view
